name,node_id,osm_node_id,railway,level_crossing,access,description,x_coord,y_coord,geometry
,0,54163925,,,,,-117.0810656,34.8908283,POINT (-117.0810656 34.8908283)
,1,54163926,switch,,,,-117.0828623,34.8902946,POINT (-117.0828623 34.8902946)
,2,54163930,switch,,,,-117.0843123,34.8898455,POINT (-117.0843123 34.8898455)
,3,54167532,,,,,-117.0878734,34.889391,POINT (-117.0878734 34.889391)
Barstow,4,54215100,stop,,,,-117.0256935,34.9045089,POINT (-117.0256935 34.9045089)
,5,54215102,,,,,-117.0226527,34.9044684,POINT (-117.0226527 34.9044684)
,6,54215103,,,,,-117.0204551,34.9042466,POINT (-117.0204551 34.9042466)
,7,54363994,,,,,-117.0813527,34.8911283,POINT (-117.0813527 34.8911283)
,8,54363996,switch,,,,-117.0803336,34.891557,POINT (-117.0803336 34.891557)
,9,54363998,switch,,,,-117.0789269,34.8922525,POINT (-117.0789269 34.8922525)
,10,54380684,,,,,-117.0669919,34.8964822,POINT (-117.0669919 34.8964822)
,11,54380686,level_crossing,,,,-117.064844,34.8963889,POINT (-117.064844 34.8963889)
,12,54380688,switch,,,,-117.0606828,34.896956,POINT (-117.0606828 34.896956)
,13,54391974,switch,,,,-117.036673,34.9027826,POINT (-117.036673 34.9027826)
,14,54391975,,,,,-117.0393284,34.901594,POINT (-117.0393284 34.901594)
,15,54391977,switch,,,,-117.0435532,34.9005446,POINT (-117.0435532 34.9005446)
,16,54391986,,,,,-117.0573467,34.8967777,POINT (-117.0573467 34.8967777)
,17,54391987,,,,,-117.0594318,34.8963135,POINT (-117.0594318 34.8963135)
,18,54391988,,,,,-117.0635984,34.8951657,POINT (-117.0635984 34.8951657)
,19,54391989,,,,,-117.0642422,34.8946174,POINT (-117.0642422 34.8946174)
,20,54415353,,,,,-117.0116304,34.9061156,POINT (-117.0116304 34.9061156)
,21,54415355,,,,,-117.0125777,34.9052129,POINT (-117.0125777 34.9052129)
,22,54415358,,,,,-117.0137209,34.904539,POINT (-117.0137209 34.904539)
,23,54415359,level_crossing,,,,-117.014996,34.9042046,POINT (-117.014996 34.9042046)
,24,54415360,,,,,-117.017274,34.9036643,POINT (-117.017274 34.9036643)
,25,54415361,,,,,-117.0181658,34.9034683,POINT (-117.0181658 34.9034683)
,26,54470332,,,,,-117.0366216,34.9024126,POINT (-117.0366216 34.9024126)
,27,54470333,,,,,-117.0418122,34.8993726,POINT (-117.0418122 34.8993726)
,28,54470336,,,,,-117.0459857,34.8975872,POINT (-117.0459857 34.8975872)
,29,54470337,,,,,-117.0486051,34.8965905,POINT (-117.0486051 34.8965905)
,30,54470338,,,,,-117.0507376,34.896083,POINT (-117.0507376 34.896083)
,31,54470341,switch,,,,-117.0396316,34.9013633,POINT (-117.0396316 34.9013633)
,32,54470342,,,,,-117.0441776,34.8991502,POINT (-117.0441776 34.8991502)
,33,54470343,,,,,-117.0475663,34.8980032,POINT (-117.0475663 34.8980032)
,34,54470345,,,,,-117.0502918,34.8973253,POINT (-117.0502918 34.8973253)
,35,54470346,,,,,-117.0505213,34.8972882,POINT (-117.0505213 34.8972882)
,36,54470348,,,,,-117.0518326,34.8970619,POINT (-117.0518326 34.8970619)
,37,54470350,switch,,,,-117.0519799,34.897019,POINT (-117.0519799 34.897019)
,38,54475004,switch,,,,-117.0571284,34.8975647,POINT (-117.0571284 34.8975647)
,39,54475006,,,,,-117.0565683,34.8976875,POINT (-117.0565683 34.8976875)
,40,54475008,,,,,-117.0488644,34.8994507,POINT (-117.0488644 34.8994507)
,41,54475010,,,,,-117.0427962,34.9008109,POINT (-117.0427962 34.9008109)
,42,54629875,,,,,-117.0756302,34.8920547,POINT (-117.0756302 34.8920547)
,43,54629878,switch,,,,-117.0710292,34.8930919,POINT (-117.0710292 34.8930919)
,44,54629881,,,,,-117.0684693,34.8936776,POINT (-117.0684693 34.8936776)
,45,54629882,switch,,,,-117.0650142,34.8950623,POINT (-117.0650142 34.8950623)
,46,54631283,,,,,-117.0346202,34.9037234,POINT (-117.0346202 34.9037234)
,47,54631285,,,,,-117.0361712,34.9034383,POINT (-117.0361712 34.9034383)
,48,54631287,,,,,-117.0420737,34.9021025,POINT (-117.0420737 34.9021025)
,49,54631289,,,,,-117.0489813,34.9005575,POINT (-117.0489813 34.9005575)
,50,54631291,,,,,-117.0570494,34.8987374,POINT (-117.0570494 34.8987374)
,51,54631293,,,,,-117.0760329,34.894441,POINT (-117.0760329 34.894441)
,52,54631294,,,,,-117.0782851,34.8938926,POINT (-117.0782851 34.8938926)
,53,54631295,,,,,-117.0791725,34.8935919,POINT (-117.0791725 34.8935919)
,54,54631296,,,,,-117.0807161,34.8928919,POINT (-117.0807161 34.8928919)
,55,54631298,,,,,-117.0817267,34.8923081,POINT (-117.0817267 34.8923081)
,56,54631299,,,,,-117.0829233,34.8916272,POINT (-117.0829233 34.8916272)
,57,54631301,switch,,,,-117.0826829,34.8917174,POINT (-117.0826829 34.8917174)
,58,54631303,switch,,,,-117.0848294,34.8897334,POINT (-117.0848294 34.8897334)
,59,54631305,switch,,,,-117.0871751,34.8894495,POINT (-117.0871751 34.8894495)
,60,54631339,,,,,-117.0842455,34.89086,POINT (-117.0842455 34.89086)
,61,54631347,,,,,-117.0859686,34.8901864,POINT (-117.0859686 34.8901864)
,62,54632887,switch,,,,-117.0573636,34.8962741,POINT (-117.0573636 34.8962741)
,63,54632889,switch,,,,-117.0507715,34.8974458,POINT (-117.0507715 34.8974458)
,64,54632891,,,,,-117.0503854,34.8975966,POINT (-117.0503854 34.8975966)
,65,54632893,,,,,-117.0495578,34.8979913,POINT (-117.0495578 34.8979913)
,66,54632895,,,,,-117.0417709,34.9006431,POINT (-117.0417709 34.9006431)
,67,54632899,,,,,-117.0356834,34.9029067,POINT (-117.0356834 34.9029067)
,68,54632905,switch,,,,-117.0313771,34.9041783,POINT (-117.0313771 34.9041783)
,69,54632907,,,,,-117.0313259,34.9038966,POINT (-117.0313259 34.9038966)
,70,54632909,,,,,-117.0302323,34.9040088,POINT (-117.0302323 34.9040088)
,71,54632911,,,,,-117.0274599,34.9038677,POINT (-117.0274599 34.9038677)
,72,54632913,,,,,-117.0267969,34.90381,POINT (-117.0267969 34.90381)
,73,54632915,,,,,-117.025444,34.9036943,POINT (-117.025444 34.9036943)
,74,54632917,,,,,-117.0242861,34.9035935,POINT (-117.0242861 34.9035935)
,75,54632919,,,,,-117.0229723,34.9034803,POINT (-117.0229723 34.9034803)
,76,54632920,,,,,-117.0213539,34.9033432,POINT (-117.0213539 34.9033432)
,77,54632922,,,,,-117.0206167,34.9032868,POINT (-117.0206167 34.9032868)
,78,54632931,,,,,-117.013247,34.9023079,POINT (-117.013247 34.9023079)
,79,54632933,,,,,-117.0124653,34.902241,POINT (-117.0124653 34.902241)
,80,54632934,,,,,-117.0117233,34.9021769,POINT (-117.0117233 34.9021769)
,81,54632936,,,,,-117.0103603,34.9020663,POINT (-117.0103603 34.9020663)
,82,54632937,,,,,-117.0094344,34.9019826,POINT (-117.0094344 34.9019826)
,83,54632939,,,,,-117.0089589,34.9019445,POINT (-117.0089589 34.9019445)
,84,54632941,,,,,-117.0064415,34.9013672,POINT (-117.0064415 34.9013672)
,85,54634370,switch,,,,-117.0306869,34.904275,POINT (-117.0306869 34.904275)
,86,54634376,,,,,-117.0228719,34.9039135,POINT (-117.0228719 34.9039135)
,87,54634380,,,,,-117.0149354,34.9031574,POINT (-117.0149354 34.9031574)
,88,54634381,,,,,-117.0090489,34.9023044,POINT (-117.0090489 34.9023044)
,89,54634492,,,,,-117.0525261,34.8960039,POINT (-117.0525261 34.8960039)
,90,54634493,,,,,-117.0590846,34.8954949,POINT (-117.0590846 34.8954949)
,91,54634499,,,,,-117.0668098,34.8937991,POINT (-117.0668098 34.8937991)
,92,54634500,,,,,-117.07854,34.8911552,POINT (-117.07854 34.8911552)
,93,909298889,,,,,-117.0874281,34.8894232,POINT (-117.0874281 34.8894232)
