name,node_id,osm_node_id,railway,level_crossing,access,description,x_coord,y_coord,geometry
,0,69326790,,,,,-84.4154733,33.794956,POINT (-84.4154733 33.794956)
,1,69410431,buffer_stop,,,,-84.4219428,33.8007961,POINT (-84.4219428 33.8007961)
,2,69410433,,,,,-84.420214,33.799859,POINT (-84.420214 33.799859)
,3,69410435,,,,,-84.4199027,33.7996538,POINT (-84.41990269999999 33.7996538)
,4,69410438,switch,,,,-84.4196359,33.799354,POINT (-84.4196359 33.799354)
,5,69410441,switch,,,,-84.4193661,33.7988739,POINT (-84.4193661 33.7988739)
,6,69410442,,,,,-84.4189838,33.7982737,POINT (-84.41898380000001 33.7982737)
,7,69410446,,,,,-84.4188072,33.7977101,POINT (-84.4188072 33.7977101)
,8,69410451,,,,,-84.4187631,33.7973746,POINT (-84.41876310000001 33.7973746)
,9,69410457,,,,,-84.4186971,33.7970337,POINT (-84.4186971 33.7970337)
,10,69410463,,,,,-84.4186366,33.7968884,POINT (-84.4186366 33.7968884)
,11,69410468,,,,,-84.4178162,33.7956237,POINT (-84.4178162 33.7956237)
,12,69410480,,,,,-84.4175618,33.7951778,POINT (-84.4175618 33.7951778)
,13,69410485,,,,,-84.4174041,33.795022,POINT (-84.4174041 33.795022)
,14,69410489,switch,,,,-84.4169828,33.794814,POINT (-84.4169828 33.794814)
,15,69410491,,,,,-84.4169357,33.7948015,POINT (-84.4169357 33.7948015)
,16,69410493,,,,,-84.41683,33.7947819,POINT (-84.41683 33.7947819)
,17,69410498,,,,,-84.4167363,33.7947727,POINT (-84.4167363 33.7947727)
,18,69410501,,,,,-84.4166274,33.7947676,POINT (-84.4166274 33.7947676)
,19,69410503,,,,,-84.416481,33.7947745,POINT (-84.416481 33.7947745)
,20,69410520,,,,,-84.4206178,33.796985,POINT (-84.4206178 33.796985)
,21,69410590,,,,,-84.4175047,33.7950241,POINT (-84.41750469999999 33.7950241)
,22,69410593,,,,,-84.4176892,33.7951883,POINT (-84.4176892 33.7951883)
,23,69410596,,,,,-84.4181394,33.7958472,POINT (-84.4181394 33.7958472)
,24,69410607,,,,,-84.4202757,33.7983999,POINT (-84.4202757 33.7983999)
,25,69410611,,,,,-84.4208418,33.7990612,POINT (-84.42084180000001 33.7990612)
,26,69415845,,,,,-84.4163752,33.7947343,POINT (-84.4163752 33.7947343)
,27,69415850,,,,,-84.4170076,33.794595,POINT (-84.41700760000001 33.794595)
,28,69415853,,,,,-84.4172399,33.7946039,POINT (-84.4172399 33.7946039)
,29,69415857,,,,,-84.41747,33.79463,POINT (-84.41746999999999 33.79463)
,30,69415859,,,,,-84.4177338,33.7947459,POINT (-84.41773379999999 33.7947459)
,31,69415885,,,,,-84.4186283,33.7946132,POINT (-84.41862829999999 33.7946132)
,32,69415921,,,,,-84.418286,33.794215,POINT (-84.41828599999999 33.794215)
,33,69494620,,,,,-84.420326,33.796893,POINT (-84.420326 33.796893)
,34,69497028,,,,,-84.4164152,33.7943085,POINT (-84.4164152 33.7943085)
,35,69497032,,,,,-84.4168856,33.7937214,POINT (-84.4168856 33.7937214)
,36,681684596,switch,,,,-84.4180226,33.7948263,POINT (-84.4180226 33.7948263)
,37,681684597,,,,,-84.4177537,33.7944661,POINT (-84.41775370000001 33.7944661)
,38,681684600,,,,,-84.4173529,33.793734,POINT (-84.4173529 33.793734)
,39,1810988184,,,,,-84.4202917,33.799855,POINT (-84.42029170000001 33.799855)
,40,1810988185,,,,,-84.4198925,33.7995901,POINT (-84.4198925 33.7995901)
,41,1810988186,,,,,-84.4199497,33.799641,POINT (-84.4199497 33.799641)
,42,1810988188,,,,,-84.420104,33.7997458,POINT (-84.42010399999999 33.7997458)
,43,1810988194,,,,,-84.4187344,33.7972123,POINT (-84.41873440000001 33.7972123)
,44,1810988196,,,,,-84.419872,33.7997046,POINT (-84.419872 33.7997046)
,45,1810988197,buffer_stop,,,,-84.4219762,33.8007655,POINT (-84.4219762 33.8007655)
,46,1810988200,,,,,-84.4195219,33.7991706,POINT (-84.41952190000001 33.7991706)
,47,1810988201,,,,,-84.4195555,33.7991529,POINT (-84.4195555 33.7991529)
,48,1810988214,,,,,-84.4198258,33.7995828,POINT (-84.4198258 33.7995828)
,49,1810988232,,,,,-84.4197995,33.7995976,POINT (-84.4197995 33.7995976)
