name,link_id,osm_way_id,from_node_id,to_node_id,link_type_name,electrified,railway,frequency,highspeed,maxspeed,maxspeed_designed,passenger_lines,railway_ctcs,railway_traffic_mode,start_date,usage,voltage,gauge,service,length,geometry
UP San Pedro Subdivision,0,5233115,1784,2102,rail,no,rail,,,,,,,,,branch,,1435,,14.628216174153431,"LINESTRING (-118.2076013 34.0152459, -118.2074645 34.0151792)"
UP San Pedro Subdivision,1,5233115,2102,1916,rail,no,rail,,,,,,,,,branch,,1435,,18.69701547787351,"LINESTRING (-118.2074645 34.0151792, -118.2072874 34.0150972)"
UP San Pedro Subdivision,2,5233115,1916,413,rail,no,rail,,,,,,,,,branch,,1435,,34.54212247849718,"LINESTRING (-118.2072874 34.0150972, -118.2069946 34.0149033)"
,3,13395849,17,3582,rail,no,rail,,,,,,,,,industrial,,1435,,8.589140390461987,"LINESTRING (-118.1475464 33.9843947, -118.1475065 33.9844645)"
,4,13395849,3582,3583,rail,no,rail,,,,,,,,,industrial,,1435,,5.452722294920033,"LINESTRING (-118.1475065 33.9844645, -118.1474792 33.984508)"
,5,13395849,3583,3584,rail,no,rail,,,,,,,,,industrial,,1435,,5.0126770677927555,"LINESTRING (-118.1474792 33.984508, -118.147453 33.9845475)"
,6,13395849,3584,3585,rail,no,rail,,,,,,,,,industrial,,1435,,4.610621702916014,"LINESTRING (-118.147453 33.9845475, -118.1474284 33.9845836)"
,7,13395849,3585,3586,rail,no,rail,,,,,,,,,industrial,,1435,,7.7990730568151525,"LINESTRING (-118.1474284 33.9845836, -118.1473854 33.984644)"
,8,13395849,3586,3587,rail,no,rail,,,,,,,,,industrial,,1435,,4.024716737570922,"LINESTRING (-118.1473854 33.984644, -118.1473608 33.9846739)"
,9,13395849,3587,3581,rail,no,rail,,,,,,,,,industrial,,1435,,4.104626969521095,"LINESTRING (-118.1473608 33.9846739, -118.1473372 33.9847052)"
,10,13395849,3581,348,rail,no,rail,,,,,,,,,industrial,,1435,,4.020120506015012,"LINESTRING (-118.1473372 33.9847052, -118.1473136 33.9847356)"
,11,13395849,348,3580,rail,no,rail,,,,,,,,,industrial,,1435,,4.590129057219898,"LINESTRING (-118.1473136 33.9847356, -118.1472859 33.9847699)"
,12,13395849,3580,3588,rail,no,rail,,,,,,,,,industrial,,1435,,4.8660844191640535,"LINESTRING (-118.1472859 33.9847699, -118.1472539 33.9848047)"
,13,13395849,3588,350,rail,no,rail,,,,,,,,,industrial,,1435,,8.054929154754095,"LINESTRING (-118.1472539 33.9848047, -118.1471979 33.9848603)"
,14,13395849,350,351,rail,no,rail,,,,,,,,,industrial,,1435,,5.571608986015122,"LINESTRING (-118.1471979 33.9848603, -118.1471565 33.9848968)"
,15,13395849,351,3579,rail,no,rail,,,,,,,,,industrial,,1435,,6.254559431559127,"LINESTRING (-118.1471565 33.9848968, -118.1471093 33.9849372)"
,16,13395849,3579,3578,rail,no,rail,,,,,,,,,industrial,,1435,,6.052853908112786,"LINESTRING (-118.1471093 33.9849372, -118.1470616 33.9849746)"
,17,13395849,3578,3577,rail,no,rail,,,,,,,,,industrial,,1435,,5.352857788958124,"LINESTRING (-118.1470616 33.9849746, -118.1470161 33.9850045)"
,18,13395849,3577,3576,rail,no,rail,,,,,,,,,industrial,,1435,,6.80186732751782,"LINESTRING (-118.1470161 33.9850045, -118.1469569 33.985041)"
,19,13395849,3576,3575,rail,no,rail,,,,,,,,,industrial,,1435,,5.251584423935455,"LINESTRING (-118.1469569 33.985041, -118.1469113 33.9850693)"
,20,13395849,3575,3574,rail,no,rail,,,,,,,,,industrial,,1435,,5.798441578801873,"LINESTRING (-118.1469113 33.9850693, -118.1468584 33.9850975)"
,21,13395849,3574,361,rail,no,rail,,,,,,,,,industrial,,1435,,4.720189503809972,"LINESTRING (-118.1468584 33.9850975, -118.1468144 33.9851192)"
,22,13395849,361,3571,rail,no,rail,,,,,,,,,industrial,,1435,,5.384424303570233,"LINESTRING (-118.1468144 33.9851192, -118.1467625 33.9851414)"
,23,13395849,3571,3572,rail,no,rail,,,,,,,,,industrial,,1435,,8.423327155911918,"LINESTRING (-118.1467625 33.9851414, -118.1466808 33.9851753)"
,24,13395849,3572,3573,rail,no,rail,,,,,,,,,industrial,,1435,,5.961999146953122,"LINESTRING (-118.1466808 33.9851753, -118.146621 33.9851957)"
,25,13395849,3573,3570,rail,no,rail,,,,,,,,,industrial,,1435,,6.073698817111631,"LINESTRING (-118.146621 33.9851957, -118.1465597 33.9852157)"
,26,13395849,3570,3569,rail,no,rail,,,,,,,,,industrial,,1435,,5.903657974448207,"LINESTRING (-118.1465597 33.9852157, -118.146499 33.9852326)"
,27,13395849,3569,3568,rail,no,rail,,,,,,,,,industrial,,1435,,6.555811539133769,"LINESTRING (-118.146499 33.9852326, -118.1464303 33.9852478)"
,28,13395849,3568,362,rail,no,rail,,,,,,,,,industrial,,1435,,7.54395528523668,"LINESTRING (-118.1464303 33.9852478, -118.1463507 33.9852635)"
,29,13395849,362,3566,rail,no,rail,,,,,,,,,industrial,,1435,,5.469070934543062,"LINESTRING (-118.1463507 33.9852635, -118.1462925 33.985273)"
,30,13395849,3566,3567,rail,no,rail,,,,,,,,,industrial,,1435,,4.793515375311383,"LINESTRING (-118.1462925 33.985273, -118.1462412 33.98528)"
,31,13395849,3567,3561,rail,no,rail,,,,,,,,,industrial,,1435,,5.691146608863302,"LINESTRING (-118.1462412 33.98528, -118.1461799 33.985286)"
,32,13395849,3561,3563,rail,no,rail,,,,,,,,,industrial,,1435,,5.195548881673838,"LINESTRING (-118.1461799 33.985286, -118.1461238 33.9852904)"
,33,13395849,3563,3564,rail,no,rail,,,,,,,,,industrial,,1435,,4.400349863534286,"LINESTRING (-118.1461238 33.9852904, -118.1460761 33.9852917)"
,34,13395849,3564,3562,rail,no,rail,,,,,,,,,industrial,,1435,,5.8371641786681625,"LINESTRING (-118.1460761 33.9852917, -118.1460128 33.9852926)"
,35,13395849,3562,3560,rail,no,rail,,,,,,,,,industrial,,1435,,6.3349806948461405,"LINESTRING (-118.1460128 33.9852926, -118.1459441 33.9852917)"
,36,13395849,3560,363,rail,no,rail,,,,,,,,,industrial,,1435,,5.561177471089149,"LINESTRING (-118.1459441 33.9852917, -118.1458839 33.9852886)"
,37,13395849,363,3559,rail,no,rail,,,,,,,,,industrial,,1435,,3.7398170181082495,"LINESTRING (-118.1458839 33.9852886, -118.1458435 33.9852856)"
,38,13395849,3559,3565,rail,no,rail,,,,,,,,,industrial,,1435,,3.3565784120888704,"LINESTRING (-118.1458435 33.9852856, -118.1458074 33.9852817)"
,39,13395849,3565,3558,rail,no,rail,,,,,,,,,industrial,,1435,,3.334559081661128,"LINESTRING (-118.1458074 33.9852817, -118.1457717 33.9852769)"
,40,13395849,3558,3557,rail,no,rail,,,,,,,,,industrial,,1435,,3.983890547825123,"LINESTRING (-118.1457717 33.9852769, -118.1457293 33.98527)"
,41,13395849,3557,3555,rail,no,rail,,,,,,,,,industrial,,1435,,4.385435517568727,"LINESTRING (-118.1457293 33.98527, -118.1456827 33.9852621)"
,42,13395849,3555,18,rail,no,rail,,,,,,,,,industrial,,1435,,4.536650378110851,"LINESTRING (-118.1456827 33.9852621, -118.1456345 33.9852539)"
,43,13395849,18,3556,rail,no,rail,,,,,,,,,industrial,,1435,,3.1964508443580977,"LINESTRING (-118.1456345 33.9852539, -118.145601 33.9852465)"
,44,13395849,3556,3552,rail,no,rail,,,,,,,,,industrial,,1435,,3.448479208516315,"LINESTRING (-118.145601 33.9852465, -118.1455651 33.9852378)"
,45,13395849,3552,3553,rail,no,rail,,,,,,,,,industrial,,1435,,4.1838225840289285,"LINESTRING (-118.1455651 33.9852378, -118.1455223 33.9852253)"
,46,13395849,3553,3554,rail,no,rail,,,,,,,,,industrial,,1435,,4.523550655250178,"LINESTRING (-118.1455223 33.9852253, -118.1454766 33.9852105)"
,47,13395849,3554,3551,rail,no,rail,,,,,,,,,industrial,,1435,,4.105759860405361,"LINESTRING (-118.1454766 33.9852105, -118.1454352 33.9851969)"
,48,13395849,3551,58,rail,no,rail,,,,,,,,,industrial,,1435,,26.953864291991515,"LINESTRING (-118.1454352 33.9851969, -118.145164 33.9851064)"
,49,13395849,58,3548,rail,no,rail,,,,,,,,,industrial,,1435,,55.74884430426519,"LINESTRING (-118.145164 33.9851064, -118.1446055 33.9849143)"
,50,13395849,3548,3537,rail,no,rail,,,,,,,,,industrial,,1435,,92.89329911127963,"LINESTRING (-118.1446055 33.9849143, -118.143673 33.984598)"
,51,13395849,3537,3514,rail,no,rail,,,,,,,,,industrial,,1435,,121.93448374398594,"LINESTRING (-118.143673 33.984598, -118.1424481 33.9841846)"
,52,13395849,3514,3523,rail,no,rail,,,,,,,,,industrial,,1435,,6.3624579904933,"LINESTRING (-118.1424481 33.9841846, -118.1423842 33.984163)"
,53,13395849,3523,3513,rail,no,rail,,,,,,,,,industrial,,1435,,131.28228655502858,"LINESTRING (-118.1423842 33.984163, -118.1410658 33.9837171)"
,54,13395849,3513,3512,rail,no,rail,,,,,,,,,industrial,,1435,,8.07333720555597,"LINESTRING (-118.1410658 33.9837171, -118.1409859 33.9836874)"
,55,13395849,3512,3511,rail,no,rail,,,,,,,,,industrial,,1435,,9.501784886791523,"LINESTRING (-118.1409859 33.9836874, -118.1408933 33.9836499)"
,56,13395849,3511,19,rail,no,rail,,,,,,,,,industrial,,1435,,14.882174971718076,"LINESTRING (-118.1408933 33.9836499, -118.1407489 33.9835901)"
,57,13395849,19,3481,rail,no,rail,,,,,,,,,industrial,,1435,,39.25961024124624,"LINESTRING (-118.1407489 33.9835901, -118.1403731 33.9834241)"
,58,13395849,3481,20,rail,no,rail,,,,,,,,,industrial,,1435,,293.69318399403244,"LINESTRING (-118.1403731 33.9834241, -118.1375585 33.9821875)"
,59,13395849,20,3446,rail,no,rail,,,,,,,,,industrial,,1435,,4.726035145228808,"LINESTRING (-118.1375585 33.9821875, -118.1375136 33.982167)"
,60,13395849,3446,3445,rail,no,rail,,,,,,,,,industrial,,1435,,8.035594135925914,"LINESTRING (-118.1375136 33.982167, -118.1374357 33.9821346)"
,61,13395849,3445,3444,rail,no,rail,,,,,,,,,industrial,,1435,,3.97204234508209,"LINESTRING (-118.1374357 33.9821346, -118.1373953 33.9821222)"
