name,node_id,osm_node_id,railway,level_crossing,access,description,x_coord,y_coord,geometry
,0,56276573,,,,,-86.7018925,33.5438171,POINT (-86.7018925 33.5438171)
,1,56276574,,,,,-86.7049266,33.5406409,POINT (-86.70492659999999 33.5406409)
,2,56276584,,,,,-86.6876661,33.5550842,POINT (-86.6876661 33.5550842)
,3,56276591,level_crossing,,,,-86.6924773,33.55193,POINT (-86.69247729999999 33.55193)
,4,56276593,,,,,-86.6927535,33.5518199,POINT (-86.69275349999999 33.5518199)
,5,56276595,,,,,-86.6938704,33.5509847,POINT (-86.69387039999999 33.5509847)
,6,56445926,,,,,-86.6794308,33.5612991,POINT (-86.67943080000001 33.5612991)
,7,56445931,,,,,-86.6814678,33.5590084,POINT (-86.68146779999999 33.5590084)
,8,56445938,,,,,-86.6825078,33.5575981,POINT (-86.6825078 33.5575981)
,9,56445942,,,,,-86.6827662,33.5566215,POINT (-86.6827662 33.5566215)
,10,56446057,,,,,-86.6740469,33.570914,POINT (-86.67404689999999 33.570914)
,11,56446065,,,,,-86.6817079,33.5631776,POINT (-86.68170790000001 33.5631776)
,12,56446069,,,,,-86.6902007,33.5523596,POINT (-86.69020070000001 33.5523596)
,13,56446083,,,,,-86.6772534,33.5662418,POINT (-86.6772534 33.5662418)
,14,56446136,,,,,-86.6898238,33.5526824,POINT (-86.6898238 33.5526824)
,15,56446138,,,,,-86.6952126,33.5472709,POINT (-86.6952126 33.5472709)
,16,56446140,,,,,-86.6961835,33.5465804,POINT (-86.6961835 33.5465804)
,17,56446147,,,,,-86.706228,33.5393064,POINT (-86.706228 33.5393064)
,18,56446166,,,,,-86.6842052,33.5613571,POINT (-86.68420519999999 33.5613571)
,19,56446168,,,,,-86.6901596,33.5553,POINT (-86.6901596 33.5553)
,20,56446170,,,,,-86.6946198,33.5508904,POINT (-86.6946198 33.5508904)
,21,56446172,,,,,-86.6977989,33.5479854,POINT (-86.6977989 33.5479854)
,22,56446174,,,,,-86.7000214,33.5454122,POINT (-86.7000214 33.5454122)
,23,56446183,,,,,-86.7032774,33.5414961,POINT (-86.7032774 33.5414961)
,24,56446232,,,,,-86.6979899,33.5467086,POINT (-86.6979899 33.5467086)
,25,56446233,,,,,-86.6973286,33.54724,POINT (-86.69732860000001 33.54724)
,26,56446235,,,,,-86.6972001,33.5473551,POINT (-86.6972001 33.5473551)
,27,56446239,,,,,-86.6941829,33.5483056,POINT (-86.6941829 33.5483056)
,28,56446240,,,,,-86.6955949,33.5470545,POINT (-86.6955949 33.5470545)
,29,56446242,,,,,-86.6961963,33.5466165,POINT (-86.6961963 33.5466165)
,30,56662873,,,,,-86.6885068,33.554238,POINT (-86.6885068 33.554238)
,31,56662875,level_crossing,,,,-86.6877993,33.5546208,POINT (-86.68779929999999 33.5546208)
,32,56662876,level_crossing,,,,-86.6859038,33.5531374,POINT (-86.68590380000001 33.5531374)
,33,56704769,,,,,-86.6873783,33.5553867,POINT (-86.68737830000001 33.5553867)
,34,371303666,,,,,-86.6827781,33.554316,POINT (-86.68277809999999 33.554316)
,35,371303668,,,,,-86.6827199,33.5570477,POINT (-86.6827199 33.5570477)
,36,371303670,,,,,-86.6822815,33.5579453,POINT (-86.6822815 33.5579453)
,37,371303671,,,,,-86.6819179,33.5584508,POINT (-86.6819179 33.5584508)
