name,node_id,osm_node_id,railway,level_crossing,access,description,x_coord,y_coord,geometry
,0,73401277,,,,,-82.364982,31.201224,POINT (-82.364982 31.201224)
,1,73401280,,,,,-82.364985,31.200954,POINT (-82.364985 31.200954)
,2,73414898,,,,,-82.408326,31.169992,POINT (-82.408326 31.169992)
,3,73414900,,,,,-82.4051228,31.1716967,POINT (-82.4051228 31.1716967)
,4,73414905,,,,,-82.4049227,31.172054,POINT (-82.4049227 31.172054)
,5,73414907,,,,,-82.4047053,31.1724674,POINT (-82.4047053 31.1724674)
,6,73414914,,,,,-82.4027718,31.174552,POINT (-82.4027718 31.174552)
,7,73414918,,,,,-82.3998725,31.1767091,POINT (-82.3998725 31.1767091)
,8,73414921,,,,,-82.3994684,31.1767318,POINT (-82.3994684 31.1767318)
,9,73414925,,,,,-82.3979485,31.1773109,POINT (-82.3979485 31.1773109)
,10,73414927,,,,,-82.3975105,31.17751,POINT (-82.3975105 31.17751)
,11,73414931,,,,,-82.3972491,31.1776613,POINT (-82.3972491 31.1776613)
,12,73414932,,,,,-82.3966225,31.1781184,POINT (-82.39662250000001 31.1781184)
,13,73414936,,,,,-82.3962601,31.1784918,POINT (-82.39626010000001 31.1784918)
,14,73414938,,,,,-82.395681,31.179086,POINT (-82.395681 31.179086)
,15,73414940,,,,,-82.3954797,31.1793133,POINT (-82.3954797 31.1793133)
,16,73414942,,,,,-82.3951338,31.179643,POINT (-82.3951338 31.179643)
,17,73414945,,,,,-82.3949109,31.1798665,POINT (-82.3949109 31.1798665)
,18,73414948,,,,,-82.3940387,31.1807445,POINT (-82.3940387 31.1807445)
,19,73414951,,,,,-82.393988,31.1807092,POINT (-82.39398799999999 31.1807092)
,20,73414954,,,,,-82.3918433,31.182984,POINT (-82.39184330000001 31.182984)
,21,73414957,,,,,-82.3915385,31.1832886,POINT (-82.3915385 31.1832886)
,22,73414959,,,,,-82.3912993,31.183519,POINT (-82.3912993 31.183519)
,23,73414961,,,,,-82.387341,31.186673,POINT (-82.38734100000001 31.186673)
,24,73414965,,,,,-82.382189,31.190768,POINT (-82.382189 31.190768)
,25,73414968,,,,,-82.3806331,31.1919967,POINT (-82.3806331 31.1919967)
,26,73414970,,,,,-82.3779461,31.1943095,POINT (-82.3779461 31.1943095)
,27,73414973,,,,,-82.3777936,31.1943561,POINT (-82.3777936 31.1943561)
,28,73414975,,,,,-82.3736312,31.1977361,POINT (-82.37363120000001 31.1977361)
,29,73414976,,,,,-82.371616,31.19925,POINT (-82.371616 31.19925)
,30,73414977,,,,,-82.371435,31.199411,POINT (-82.37143500000001 31.199411)
,31,73414982,,,,,-82.3695707,31.200776,POINT (-82.3695707 31.200776)
,32,73414985,,,,,-82.3705802,31.2001192,POINT (-82.37058020000001 31.2001192)
,33,73414988,,,,,-82.369734,31.200834,POINT (-82.36973399999999 31.200834)
,34,73414990,,,,,-82.369515,31.201012,POINT (-82.36951500000001 31.201012)
,35,73414992,,,,,-82.369135,31.201317,POINT (-82.369135 31.201317)
,36,73414994,,,,,-82.36877,31.201561,POINT (-82.36877 31.201561)
,37,73414998,,,,,-82.3683096,31.2018456,POINT (-82.3683096 31.2018456)
,38,73415000,,,,,-82.366967,31.2029416,POINT (-82.366967 31.2029416)
,39,73415277,,,,,-82.3737934,31.19622,POINT (-82.3737934 31.19622)
,40,73415280,,,,,-82.373444,31.196328,POINT (-82.37344400000001 31.196328)
,41,73415283,,,,,-82.37292,31.196425,POINT (-82.37291999999999 31.196425)
,42,73415287,,,,,-82.3721155,31.1965273,POINT (-82.37211550000001 31.1965273)
,43,73415289,crossing,,,,-82.3711076,31.1966354,POINT (-82.3711076 31.1966354)
,44,73415291,,,,,-82.369577,31.196783,POINT (-82.36957700000001 31.196783)
,45,73415294,,,,,-82.369146,31.196842,POINT (-82.369146 31.196842)
,46,73415297,,,,,-82.368494,31.196945,POINT (-82.368494 31.196945)
,47,73415299,,,,,-82.367894,31.196996,POINT (-82.36789400000001 31.196996)
,48,73415301,,,,,-82.367183,31.197079,POINT (-82.367183 31.197079)
,49,73415305,,,,,-82.366688,31.197159,POINT (-82.366688 31.197159)
,50,73415307,,,,,-82.366432,31.197227,POINT (-82.366432 31.197227)
,51,73415309,,,,,-82.366357,31.197253,POINT (-82.36635699999999 31.197253)
,52,73415318,,,,,-82.366102,31.197381,POINT (-82.366102 31.197381)
,53,73415319,,,,,-82.365882,31.197519,POINT (-82.365882 31.197519)
,54,73415321,,,,,-82.365669,31.197707,POINT (-82.365669 31.197707)
,55,73415322,,,,,-82.365456,31.19793,POINT (-82.36545599999999 31.19793)
,56,73415324,,,,,-82.365308,31.198187,POINT (-82.365308 31.198187)
,57,73415325,,,,,-82.365191,31.19852,POINT (-82.365191 31.19852)
,58,73415328,,,,,-82.365135,31.198665,POINT (-82.365135 31.198665)
,59,73415332,,,,,-82.365069,31.19895,POINT (-82.36506900000001 31.19895)
,60,73415334,,,,,-82.365031,31.19941,POINT (-82.365031 31.19941)
,61,73415336,level_crossing,,,,-82.365018,31.199986,POINT (-82.36501800000001 31.199986)
,62,73415339,,,,,-82.365006,31.200488,POINT (-82.36500599999999 31.200488)
,63,73415342,,,,,-82.364988,31.200713,POINT (-82.364988 31.200713)
,64,73415368,,,,,-82.3763005,31.1941905,POINT (-82.3763005 31.1941905)
,65,73415370,,,,,-82.3768457,31.1936384,POINT (-82.3768457 31.1936384)
,66,73415373,,,,,-82.3777787,31.192707,POINT (-82.37777869999999 31.192707)
,67,73415376,,,,,-82.378294,31.191973,POINT (-82.378294 31.191973)
,68,73415378,,,,,-82.3785041,31.1921463,POINT (-82.3785041 31.1921463)
,69,73415381,crossing,,,,-82.3794583,31.1913906,POINT (-82.3794583 31.1913906)
,70,73415382,,,,,-82.3797986,31.1911196,POINT (-82.3797986 31.1911196)
,71,73415383,,,,,-82.3817596,31.1893055,POINT (-82.3817596 31.1893055)
,72,73415385,,,,,-82.3819629,31.1893939,POINT (-82.3819629 31.1893939)
,73,73415388,,,,,-82.382306,31.1888093,POINT (-82.382306 31.1888093)
,74,73415389,,,,,-82.38286,31.188717,POINT (-82.38285999999999 31.188717)
,75,73415392,,,,,-82.3829917,31.1885378,POINT (-82.38299170000001 31.1885378)
,76,73426179,,,,,-82.3652195,31.2039644,POINT (-82.36521949999999 31.2039644)
,77,73426187,,,,,-82.3653994,31.2037406,POINT (-82.3653994 31.2037406)
,78,73426191,,,,,-82.3655182,31.2035795,POINT (-82.3655182 31.2035795)
,79,73426194,,,,,-82.3655721,31.2034312,POINT (-82.36557209999999 31.2034312)
,80,73426199,,,,,-82.3656319,31.2033028,POINT (-82.3656319 31.2033028)
,81,73426202,,,,,-82.3656756,31.2030271,POINT (-82.3656756 31.2030271)
,82,73426204,,,,,-82.3656943,31.2026887,POINT (-82.3656943 31.2026887)
,83,73426206,,,,,-82.365897,31.201802,POINT (-82.365897 31.201802)
,84,73426208,,,,,-82.365894,31.201617,POINT (-82.365894 31.201617)
,85,73426212,,,,,-82.365908,31.201321,POINT (-82.365908 31.201321)
,86,73426215,,,,,-82.365917,31.20115,POINT (-82.365917 31.20115)
,87,73426216,,,,,-82.365938,31.200999,POINT (-82.365938 31.200999)
,88,73426218,,,,,-82.365965,31.200829,POINT (-82.365965 31.200829)
,89,73426219,,,,,-82.365987,31.200733,POINT (-82.365987 31.200733)
,90,73426222,,,,,-82.366102,31.200596,POINT (-82.366102 31.200596)
,91,73426228,,,,,-82.366297,31.200424,POINT (-82.366297 31.200424)
,92,73426231,,,,,-82.366713,31.200108,POINT (-82.366713 31.200108)
,93,73426234,,,,,-82.367307,31.199621,POINT (-82.367307 31.199621)
,94,73426239,,,,,-82.367861,31.199208,POINT (-82.367861 31.199208)
,95,73426241,,,,,-82.368952,31.198389,POINT (-82.36895199999999 31.198389)
,96,73426243,,,,,-82.3705482,31.1974882,POINT (-82.3705482 31.1974882)
,97,73426248,,,,,-82.369694,31.1977622,POINT (-82.369694 31.1977622)
,98,73430722,,,,,-82.383964,31.185241,POINT (-82.38396400000001 31.185241)
,99,73430728,,,,,-82.383964,31.185244,POINT (-82.38396400000001 31.185244)
,100,73430734,,,,,-82.383597,31.185535,POINT (-82.38359699999999 31.185535)
,101,73456060,,,,,-82.3853248,31.1873869,POINT (-82.38532480000001 31.1873869)
,102,73456063,,,,,-82.3827304,31.189443,POINT (-82.3827304 31.189443)
,103,73456065,,,,,-82.3819652,31.189125,POINT (-82.3819652 31.189125)
,104,73456068,,,,,-82.3813713,31.1905237,POINT (-82.3813713 31.1905237)
,105,73456071,,,,,-82.3780412,31.1931692,POINT (-82.3780412 31.1931692)
,106,73456072,,,,,-82.3748373,31.1955586,POINT (-82.3748373 31.1955586)
,107,73456074,,,,,-82.3744649,31.1958454,POINT (-82.37446490000001 31.1958454)
,108,73456075,,,,,-82.3744496,31.1957783,POINT (-82.37444960000001 31.1957783)
,109,73456076,,,,,-82.373375,31.196257,POINT (-82.373375 31.196257)
,110,73456078,,,,,-82.373159,31.196281,POINT (-82.373159 31.196281)
,111,73456080,,,,,-82.3729135,31.1962789,POINT (-82.3729135 31.1962789)
,112,73456084,,,,,-82.3721523,31.1962324,POINT (-82.3721523 31.1962324)
,113,73456086,,,,,-82.3697081,31.1964325,POINT (-82.3697081 31.1964325)
,114,73456088,crossing,,,,-82.3690273,31.1963664,POINT (-82.3690273 31.1963664)
,115,73456091,,,,,-82.368188,31.1965944,POINT (-82.368188 31.1965944)
,116,73456094,,,,,-82.367786,31.196653,POINT (-82.367786 31.196653)
,117,73456096,,,,,-82.367181,31.196833,POINT (-82.367181 31.196833)
,118,73456097,,,,,-82.366629,31.197007,POINT (-82.366629 31.197007)
,119,73477293,,,,,-82.4163204,31.1636399,POINT (-82.4163204 31.1636399)
,120,73477298,crossing,,,,-82.4154189,31.1641677,POINT (-82.41541890000001 31.1641677)
,121,73477301,,,,,-82.415501,31.164281,POINT (-82.41550100000001 31.164281)
,122,73477304,,,,,-82.415414,31.16435,POINT (-82.415414 31.16435)
,123,73477310,,,,,-82.41514,31.164566,POINT (-82.41513999999999 31.164566)
,124,73477319,,,,,-82.4145014,31.1650762,POINT (-82.41450140000001 31.1650762)
,125,73512287,,,,,-82.4076402,31.1687391,POINT (-82.4076402 31.1687391)
,126,73512288,,,,,-82.4086342,31.1681263,POINT (-82.40863419999999 31.1681263)
,127,73512290,,,,,-82.4104344,31.1670193,POINT (-82.4104344 31.1670193)
